Source (A)	Source (B)	Analytic	Clout	Authentic	Tone	WPS	Sixltr	posemo	negemo	anx	anger	sad	insight	cause	discrep	tentat	certain	differ	see	hear	feel	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
Can you think yourself into a different person? | via @HuffingtonPost https://t.co/2OHBDmWuaH https://t.co/amSkuJpFZT	LER	has_photo	92.84	97.69	43.37	25.77	10.00	25.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	5.00	0.00
This has us cooing - pigeons are uncommonly good at finding cancer cells | via @ScienceDaily https://t.co/nI8pDfpySE	LER	has_no_media	63.17	85.38	19.27	97.58	19.00	26.32	5.26	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	5.26	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00
19th-century artists imagined life in the YEAR TWO THOUSAND (fact: we have aquacroquet now) https://t.co/71NxDX1VNC	LER	has_no_media	86.96	82.96	68.01	25.77	21.00	23.81	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00
Frankenstein. Stem Cells. 10 McRib sandwiches. HAS SCIENCE GONE TOO FAR? https://t.co/Mmz8za96r6	LER	has_no_media	71.61	50.00	7.84	25.77	3.20	25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	6.25	0.00
Twinkle twinkle little star... but why don't planets twinkle? | via @earthskyscience https://t.co/SSCELrjOrj #astronomy #space #science	LER	has_no_media	63.17	14.62	50.35	25.77	6.33	42.11	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	5.26	0.00
Scientists Politely Remind World That Clean Energy Technology Ready To Go Whenever https://t.co/wSNbTMXEzy via @theonion	LER	has_no_media	86.18	70.08	50.35	99.00	19.00	31.58	15.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00
We love the National Indigenous Science Education Program set up by @Macquarie_Uni - check out the footage here: https://t.co/o2V3dNYKL5	LER	has_video	99.00	90.38	9.25	93.61	23.00	34.78	4.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.70	0.00	8.70	0.00	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00
What's your favourite song about science? Ours is probably Science is Real by They Might Be Giants https://t.co/GiMoCZ80Ab	LER	has_video	7.26	98.80	1.00	94.75	11.00	22.73	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	4.55	0.00	4.55	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	4.55	0.00
SCIENCE! (Well  technically engineering  but we're still excited) https://t.co/qbttIiC9AI	LER	has_no_media	23.17	77.92	17.46	99.00	6.50	38.46	15.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	0.00	0.00	0.00	7.69	0.00	0.00	7.69	0.00	0.00	7.69	0.00	7.69	0.00	0.00	7.69
Here at #SydScienceFest we have great affection for cats  science  and ping pong. This article ticks a lot of boxes. https://t.co/qlF2lisej4	LER	has_no_media	88.07	78.82	1.00	99.00	8.33	20.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	4.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00
Time to fulfil that childhood dream! @NASA open applications for new astronauts next week! https://t.co/MypCshjOAQ https://t.co/8PMpLyhlyv	LER	has_photo	96.08	50.00	74.76	25.77	8.00	20.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	8.33
The Boring Billion: from 1.8 billion to 800m years ago life on Earth was exclusively slime | https://t.co/fJQvhEkzNv https://t.co/2cZrKfkSW6	LER	has_photo	97.65	35.54	33.94	1.00	27.00	18.52	0.00	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.41	0.00	0.00	0.00	0.00	0.00
So how *do* our brains reconstruct the visual world? | via @sciencebeta https://t.co/h1AI7S7xGK https://t.co/n6GDQWqTMF	LER	has_photo	54.14	82.96	13.15	25.77	10.50	19.05	0.00	0.00	0.00	0.00	0.00	4.76	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00	9.52	0.00	0.00	0.00	4.76	0.00
Congratulations to NASA for a successful #Cygnus launch! https://t.co/fRdvXROWMv	LER	has_no_media	99.00	50.00	1.40	99.00	6.50	23.08	7.69	0.00	0.00	0.00	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	0.00	7.69	0.00	0.00	7.69	0.00	0.00	0.00	0.00	7.69
Tomorrow! Don't miss Michal Lipson speaking on how light could be the future of data centres https://t.co/fzsvTUhjzQ https://t.co/rq99uFO5ZP	LER	has_photo	73.90	50.00	5.76	1.00	13.00	19.23	0.00	3.85	0.00	0.00	3.85	0.00	3.85	3.85	0.00	0.00	0.00	3.85	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	0.00	0.00	0.00	0.00	3.85
