tweet,label
cause_yes affiliation_yes power_yes netspeak_yes high_wps has_photo has_url  snuck memorial iraqi civilians government ,LER
is_analytic_yes is_authentic_no is_tone_yes posemo_yes netspeak_yes many_sixltr has_photo has_url  exhilarating peace freediving ,LER
is_clout_no is_authentic_yes differ_yes feel_yes netspeak_yes has_url  rough reviews slow juggernaut box office weekend points ,LER
is_analytic_yes is_tone_no negemo_yes anger_yes tentat_yes affiliation_yes achieve_yes power_yes netspeak_yes has_url  community christians syria trying recover isis attack ,LER
cause_yes discrep_yes achieve_yes netspeak_yes low_wps has_url  results expected et wait check podcast ,LER
is_analytic_yes is_authentic_no certain_yes netspeak_yes low_wps has_url  correction interview 1992 ,LER
is_analytic_yes is_clout_yes affiliation_yes netspeak_yes many_sixltr low_wps has_url  regarding earlier tweet garry shandling interview ,LER
is_analytic_yes is_authentic_yes insight_yes see_yes many_sixltr high_wps has_hashtag  federal prosecutor 2nd suicide bomber brussels airport left photo suspects najim laachraoui brusselsattacks ,LER
is_analytic_yes is_authentic_yes power_yes reward_yes netspeak_yes low_wps has_url  caught latest podcast available ,LER
is_analytic_yes is_authentic_yes achieve_yes power_yes netspeak_yes has_url  stories americans brussels dead detained belgian raid ,LER
is_tone_no negemo_yes anger_yes power_yes netspeak_yes has_url  kerry americans killed brussels attacks ,LER
is_analytic_yes is_authentic_no is_tone_no negemo_yes anger_yes achieve_yes power_yes netspeak_yes many_sixltr has_url  belgian authorities detain kerry offers condolences victims attack ,LER
is_tone_yes posemo_yes achieve_yes power_yes reward_yes netspeak_yes low_wps has_qmark has_url  irs cybercriminals step spy vs spy efforts winning ,LER
is_authentic_no is_tone_no negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_url  jian ghomeshi cbc host acquitted sexual assault charges ,LER
is_clout_no is_authentic_no netspeak_yes has_url  24 hours migrants crossed sea greece turkey ,LER
is_analytic_no posemo_yes certain_yes power_yes netspeak_yes has_photo has_url  grew secular jew israel faith politics completely shifted ,LER
posemo_yes negemo_yes sad_yes tentat_yes certain_yes netspeak_yes has_url  new debris certainly missing malaysian flight mh370 ,LER
is_analytic_yes is_authentic_yes cause_yes power_yes netspeak_yes few_sixltr has_url  syrian regime forces push isis held city palmyra ,LER
is_analytic_yes insight_yes see_yes achieve_yes power_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  belgian authorities continue search brusselsattacks suspect seen surveillance ,LER
is_authentic_yes cause_yes discrep_yes see_yes netspeak_yes few_sixltr low_wps has_url  lights atlantic city ,LER
is_clout_yes affiliation_yes achieve_yes netspeak_yes low_wps has_hashtag has_url  team hosting chat gmolabels follow participate conversation ,LER
is_authentic_yes is_tone_no negemo_yes sad_yes achieve_yes power_yes netspeak_yes has_url  stories brussels update new zealanders reject new flag ,LER
is_clout_no is_authentic_yes is_tone_no negemo_yes anger_yes sad_yes tentat_yes differ_yes see_yes power_yes netspeak_yes many_sixltr has_url  brussels unites grief search attacker attackers continues ,LER
is_analytic_yes is_tone_no negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_url  brussels attacks identities victims slowly emerging ,LER
is_authentic_no discrep_yes netspeak_yes few_sixltr low_wps has_qmark has_hashtag has_url  need gif break covered sxsw gifs ,LER
is_analytic_yes is_authentic_yes insight_yes tentat_yes netspeak_yes high_wps has_url  divided court hint decision obamacare case ,LER
is_authentic_no see_yes power_yes netspeak_yes has_photo has_url  talked trump adviser walid phares foreign policy trump views ,LER
is_analytic_no is_clout_no is_authentic_yes cause_yes differ_yes reward_yes netspeak_yes has_url  missile tests rocket launches north korea watchers getting sleep year ,LER
is_authentic_yes is_tone_no negemo_yes anger_yes cause_yes achieve_yes power_yes netspeak_yes many_sixltr has_url  stories latest brussels attacks presidential contest results ,LER
is_analytic_yes is_authentic_yes see_yes power_yes netspeak_yes few_sixltr has_photo has_url  voters look district map utah republican caucus provo ,LER
is_analytic_no is_authentic_yes netspeak_yes has_qmark has_url  target airlines bouncing ,LER
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes see_yes hear_yes netspeak_yes few_sixltr has_url  watch tough news day remarkable moment grace ,LER
is_authentic_no cause_yes power_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  responses brusselsattacks officials presidential candidates ,LER
see_yes hear_yes netspeak_yes few_sixltr low_wps has_url  watch pres obama speak live havana cuba ,LER
is_analytic_yes is_authentic_no affiliation_yes power_yes reward_yes netspeak_yes high_wps has_hashtag has_url  american politicians took social media tv news programs respond brusselsattacks ,LER
see_yes hear_yes power_yes netspeak_yes has_url  watch live president obama delivers speech havana ,LER
is_authentic_yes tentat_yes differ_yes hear_yes netspeak_yes few_sixltr has_hashtag has_url  tune local npr station listen live 10am et 7am pt brusselsattack ,LER
is_analytic_yes tentat_yes hear_yes power_yes netspeak_yes high_wps has_url  government asks delay tuesday hearing apple case citing possible unlocking method ,LER
is_analytic_no is_authentic_no cause_yes discrep_yes tentat_yes differ_yes achieve_yes netspeak_yes has_photo has_url  unclear trip progress gop washington ,LER
is_analytic_yes is_authentic_yes power_yes netspeak_yes has_url  draftkings fanduel shut paid contests new york ,LER
is_analytic_yes is_authentic_no is_tone_yes posemo_yes hear_yes netspeak_yes has_url  supreme court hear samsung appeal patent dispute apple ,LER
is_analytic_yes is_authentic_yes netspeak_yes few_sixltr has_url  north korea fires short range missiles sea ,LER
is_clout_yes is_authentic_no is_tone_no negemo_yes anger_yes affiliation_yes achieve_yes power_yes netspeak_yes has_url  stories police seek paris attacker accomplice trump talk foreign policy ,LER
insight_yes affiliation_yes power_yes netspeak_yes many_sixltr has_url  belgian police identify suspected accomplice salah abdeslam ,LER
is_authentic_no is_tone_yes posemo_yes tentat_yes see_yes reward_yes netspeak_yes few_sixltr has_url  great photos havana classic cars piece 2014 ,LER
is_analytic_no insight_yes discrep_yes tentat_yes differ_yes hear_yes netspeak_yes few_sixltr has_video has_url  know song know julia ward howe learn ,LER
is_tone_no negemo_yes anx_yes anger_yes insight_yes power_yes netspeak_yes many_sixltr has_url  captured paris terror suspect abdeslam facing charges fighting extradition ,LER
is_analytic_yes is_authentic_no is_tone_yes posemo_yes tentat_yes hear_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_url  playlist best panamanian artists recommended listeners ,LER
is_analytic_no netspeak_yes has_hashtag has_url  nprreads stories pass legend ,LER
is_analytic_yes netspeak_yes few_sixltr has_url  62 dead flydubai plane crash russia ,LER
is_authentic_no tentat_yes see_yes power_yes netspeak_yes filler_yes many_sixltr has_url  shadowy video korea american student removing banner ,LER
is_analytic_yes netspeak_yes many_sixltr has_url  reporter teri schultz brussels reporting capture salah abdeslam ,LER
is_tone_no negemo_yes anger_yes sad_yes insight_yes discrep_yes tentat_yes hear_yes feel_yes power_yes netspeak_yes has_url  reports say paris attacks suspect salah abdeslam europe wanted men hurt raid ,LER
is_analytic_yes is_authentic_yes is_tone_no negemo_yes anger_yes insight_yes power_yes netspeak_yes many_sixltr has_url  police operation linked paris attacks underway brussels ,LER
is_analytic_no is_authentic_no netspeak_yes high_wps has_hashtag has_url  read background context nprobamaeffect ,LER
is_authentic_yes cause_yes affiliation_yes power_yes netspeak_yes few_sixltr has_url  went sleep day isis control ,LER
is_analytic_yes is_authentic_yes netspeak_yes has_url  turkey eu close controversial migration deal brussels ,LER
is_analytic_yes is_tone_yes posemo_yes negemo_yes anx_yes hear_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_url  yale notches historic upset win baylor sparking great soundbite ,LER
netspeak_yes many_sixltr has_hashtag has_url  follow nprobamaeffect ,LER
is_analytic_yes is_authentic_no netspeak_yes high_wps has_photo has_url  donald trump rewrite electoral map gop ,LER
is_authentic_no see_yes netspeak_yes has_photo has_hashtag has_url  candid convo scotusnominee eye confirmation hurricane ,LER
is_analytic_yes posemo_yes negemo_yes anger_yes power_yes netspeak_yes has_url  phoenix man convicted supporting isis attack texas ,LER
is_tone_no negemo_yes sad_yes power_yes netspeak_yes many_sixltr has_url  committee rejects philly mob boss home historical landmark ,LER
is_analytic_yes is_authentic_yes netspeak_yes many_sixltr has_hashtag has_url  republican weighs scotusnominee ,LER
is_analytic_yes see_yes netspeak_yes has_hashtag has_url  young irish artist author words anchored images ,LER
is_analytic_yes is_authentic_yes insight_yes netspeak_yes low_wps has_url  metrorail reopen thursday emergency closure ,LER
is_analytic_yes is_authentic_yes netspeak_yes low_wps has_hashtag has_url  update metroshutdown ,LER
is_analytic_yes is_tone_yes posemo_yes netspeak_yes many_sixltr low_wps has_hashtag has_url  npr scotusnominee merrick garland ,LER
is_analytic_yes is_clout_yes see_yes affiliation_yes achieve_yes netspeak_yes has_hashtag has_url  team looks metroshutdown compared developing world ,LER
is_clout_yes is_authentic_no is_tone_no negemo_yes hear_yes achieve_yes power_yes netspeak_yes high_wps has_url  fifa says victim leaders asks millions restitution ,LER
is_analytic_yes insight_yes affiliation_yes achieve_yes netspeak_yes many_sixltr low_wps has_hashtag has_url  primaryday analysis team ,LER
is_authentic_no power_yes reward_yes risk_yes netspeak_yes many_sixltr has_url  brazil ex president takes cabinet role hindering corruption case ,LER
is_analytic_yes is_authentic_yes netspeak_yes has_url  headlines morning mega tuesday ,LER
is_analytic_no is_authentic_yes cause_yes certain_yes differ_yes affiliation_yes netspeak_yes few_sixltr high_wps has_url  live coverage ended track results tonight races ,LER
is_analytic_yes netspeak_yes assent_yes many_sixltr low_wps has_url  regarding earlier quote ,LER
insight_yes netspeak_yes has_hashtag has_url  primaryday analysis ,LER
power_yes netspeak_yes many_sixltr has_url  campaigns plausible path nomination donald trump earlier tonight ,LER
cause_yes discrep_yes differ_yes hear_yes affiliation_yes power_yes netspeak_yes has_hashtag has_url  companies leaving allow happen listen live primaryday ,LER
is_authentic_no is_tone_yes posemo_yes achieve_yes power_yes reward_yes many_sixltr has_hashtag  donald trump projected winner illinois primary according ap ilprimary primaryday ,LER
is_analytic_yes is_authentic_no is_tone_yes posemo_yes achieve_yes power_yes reward_yes many_sixltr has_hashtag  donald trump projected winner north carolina primary according ap ncprimary primaryday ,LER
insight_yes cause_yes netspeak_yes has_exclam has_animated_gif has_hashtag has_url  live results analysis updated results primaryday ,LER
is_analytic_yes is_clout_yes is_authentic_yes affiliation_yes netspeak_yes high_wps has_hashtag has_url  live facebook newsroom primaryday ,LER
is_clout_yes is_tone_yes posemo_yes discrep_yes hear_yes affiliation_yes power_yes netspeak_yes has_url  need new political establishment party addressing supporters listen live ,LER
hear_yes netspeak_yes has_hashtag has_url  listen primaryday ,LER
is_analytic_yes netspeak_yes has_photo has_url  npr trump ,LER
is_authentic_yes insight_yes cause_yes affiliation_yes netspeak_yes has_exclam has_photo has_hashtag has_url  live follow analysis updated results primaryday ,LER
