Source (A)	Source (B)	Source (C)	Analytic	Clout	Authentic	Tone	WPS	Sixltr	posemo	negemo	anx	anger	sad	insight	cause	discrep	tentat	certain	differ	see	hear	feel	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
Thanks for the love  @samsheffer. We're always listening and appreciate you sharing your story! #LoveTwitter https://t.co/fiCvP6e8JX	LER	has_no_media	77.33	99.00	3.37	99.00	6.67	30.00	20.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	5.00	0.00	0.00	5.00	0.00	15.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	5.00
Sometimes a GIF is all you need to put a twist on a Tweet. Deal with it.  🕶 #TwitterTips https://t.co/JMBg3mMb7k https://t.co/UHO1SN8zmh	LER	has_video	98.65	85.81	4.35	25.77	9.33	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.57	3.57	3.57	0.00	0.00	0.00	0.00	3.57	0.00	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	0.00	0.00
We're so glad to have you here with us! #GirlsWhoCode2016 ❤️ https://t.co/XZ8Dx3wsxN	LER	has_no_media	17.96	99.00	1.00	99.00	7.50	13.33	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.33	0.00	0.00	0.00	0.00	0.00	6.67	0.00	0.00	0.00	0.00	6.67
Chill out this #TravelTuesday with the northern lights and wintry sights of Lapland  Finland. ❄️ https://t.co/wp4fBVMxZh	LER	has_no_media	98.60	50.00	4.05	25.77	9.50	26.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00
Let the world weigh in by Tweeting a poll. #TwitterTips  🎯 https://t.co/JMBg3mMb7k https://t.co/sjdTCLCvq0	LER	has_video	99.00	69.14	3.37	25.77	10.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00
Press play with @video for the latest from #vidcon2016. #FollowFriday  https://t.co/eie6HaWy5n	LER	has_no_media	99.00	50.00	1.00	99.00	7.50	20.00	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.67	0.00	6.67	0.00	0.00	0.00	0.00	0.00	0.00	6.67	0.00	0.00	0.00	0.00	0.00
On #TakeYourDogToWorkDay  what's the best job for a 🐶 ?	LER	has_no_media	99.00	50.00	7.84	99.00	8.00	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00
#EUref — following the UK's decision to leave the EU  here's a look at what's happening. https://t.co/lNiOayOV4y	LER	has_no_media	98.46	50.00	74.76	25.77	10.00	20.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00
Thanks for the ❤️  Kevin — and for sharing @JackBethmann's awesome video! #LoveTwitter https://t.co/K5ISlzYiry	LER	has_no_media	99.00	73.40	1.00	99.00	8.00	31.25	18.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00	6.25	6.25	0.00	0.00	0.00	6.25
With hours to go until polls close in Britain  see how people are talking about the historic #EURef. https://t.co/lNiOayOV4y	LER	has_no_media	96.18	80.77	80.16	25.77	11.50	17.39	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00
