tweet,label
is_clout_yes is_authentic_yes is_tone_yes posemo_yes see_yes affiliation_yes netspeak_yes few_sixltr low_wps has_qmark has_url  ready join red cross month starts days ,HER
is_analytic_no is_clout_yes is_authentic_yes is_tone_yes posemo_yes insight_yes tentat_yes differ_yes affiliation_yes reward_yes has_exclam has_hashtag  collect tigerblood know donors volunteers fierce passion doing good redcrossmonth ,HER
is_analytic_yes is_tone_yes posemo_yes cause_yes affiliation_yes netspeak_yes has_hashtag has_url  txt redcross 90999 make 10 donation japan eq pacific tsunami relief ,HER
is_clout_yes affiliation_yes netspeak_yes has_hashtag has_url  text redcross 90999 10 japan earthquake pacific tsunami online helpjapan ,HER
is_tone_yes posemo_yes see_yes achieve_yes power_yes many_sixltr high_wps has_hashtag  japanese red cross supporting evac efforts nuclear plant hospital equipment staff standby helpjapan ,HER
is_analytic_yes is_clout_yes is_tone_yes posemo_yes cause_yes differ_yes affiliation_yes netspeak_yes few_sixltr has_hashtag has_url  thank support helpjapan make difference hearts people japan ,HER
is_clout_yes posemo_yes cause_yes tentat_yes differ_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr high_wps has_url  asked help right best text redcross 90999 10 ,HER
is_clout_yes posemo_yes negemo_yes cause_yes affiliation_yes power_yes risk_yes netspeak_yes has_hashtag  disaster relief txting redcross 90999 help wake tornadoes bc ur support ,HER
is_analytic_no is_clout_yes is_tone_yes posemo_yes tentat_yes differ_yes see_yes affiliation_yes risk_yes netspeak_yes nonflu_yes high_wps has_hashtag has_url  report safe search loved ones joplin mowx tornado ,HER
is_analytic_no is_clout_yes is_authentic_yes tentat_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr has_hashtag has_url  help respond joplin continue work states txt redcross 90999 online ,HER
is_tone_yes posemo_yes power_yes many_sixltr low_wps has_qmark has_hashtag  heading shelter bring clothing pillows blankets medications personal hygiene items important documents irene ,HER
is_analytic_no posemo_yes tentat_yes affiliation_yes power_yes netspeak_yes few_sixltr has_hashtag has_url  help spread word redcross blood supply nearly 50 frm yr donate ,HER
is_clout_yes certain_yes affiliation_yes has_hashtag  hearts involved aurora theatershooting ,HER
is_clout_no is_authentic_yes differ_yes achieve_yes many_sixltr low_wps has_hashtag  today million breastcancer survivors america nflpink ,HER
is_clout_yes tentat_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes has_url  able respond help txt redcross 90999 10 donation visit ,HER
posemo_yes cause_yes discrep_yes tentat_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr has_url  want volunteer help way make sure check org ask need tips ,HER
is_analytic_yes feel_yes affiliation_yes power_yes netspeak_yes few_sixltr has_hashtag has_url  way help donate blood 300 drives cancelled shortfall almst 000 units sandy ,HER
is_authentic_yes is_tone_yes posemo_yes discrep_yes tentat_yes differ_yes feel_yes netspeak_yes has_hashtag has_url  immediate need shelter visit locate nearest options shelter sandy ,HER
is_tone_yes posemo_yes tentat_yes achieve_yes power_yes netspeak_yes few_sixltr low_wps has_hashtag has_url  thanks support telethon high website volume trying sandyhelp ,HER
insight_yes cause_yes certain_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr has_url  lung cancer leading cause cancer death men women learn facts disease ,HER
is_analytic_no is_authentic_yes insight_yes netspeak_yes few_sixltr low_wps has_qmark has_url  november lung cancer awareness month know main types lung cancer ,HER
is_analytic_yes is_clout_yes certain_yes affiliation_yes achieve_yes power_yes netspeak_yes assent_yes has_hashtag has_url  40 child deaths worldwide occur 1st month life help children survive5 worldvision ,HER
is_analytic_no is_clout_yes affiliation_yes low_wps none  hearts prayers connecticut ,HER
is_tone_yes posemo_yes cause_yes discrep_yes tentat_yes differ_yes feel_yes affiliation_yes netspeak_yes has_hashtag has_url  want make donation support newtown families united way ct sandy hook school support fund ,HER
is_clout_yes is_authentic_yes insight_yes reward_yes netspeak_yes few_sixltr low_wps has_url  february 4th world cancer day involved event area ,HER
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes affiliation_yes many_sixltr has_exclam has_hashtag  today worldcancerday join support global cancer epidemic rting message ,HER
is_analytic_yes is_clout_yes is_tone_yes posemo_yes affiliation_yes netspeak_yes assent_yes few_sixltr has_exclam has_photo has_hashtag has_url  worldcancerday helping debunk myths cancer ,HER
is_authentic_yes cause_yes see_yes power_yes netspeak_yes nonflu_yes few_sixltr has_video has_hashtag has_url  today worldwaterday pledge birthday change world new video ,HER
is_analytic_no is_clout_yes is_authentic_yes insight_yes tentat_yes affiliation_yes reward_yes low_wps has_hashtag  thoughts boston update redcross activities information bostonmarathon ,HER
is_tone_yes posemo_yes tentat_yes differ_yes affiliation_yes risk_yes netspeak_yes nonflu_yes high_wps has_hashtag has_url  reconnect loved ones boston twitter redcross safe bostonmarathon ,HER
is_tone_yes posemo_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr has_hashtag has_url  right connecting loved ones best way help bostonmarathon ,HER
is_analytic_yes is_tone_yes posemo_yes affiliation_yes power_yes has_hashtag  thanks generosity volunteer blood donors blood shelves meet demand bostonmarathon ,HER
is_analytic_yes is_clout_yes posemo_yes negemo_yes affiliation_yes achieve_yes reward_yes risk_yes netspeak_yes has_hashtag has_url  care tips recovering emotionally disaster bostonmarathon ,HER
is_analytic_yes is_tone_no negemo_yes sad_yes cause_yes tentat_yes affiliation_yes power_yes netspeak_yes few_sixltr high_wps has_hashtag has_url  help people affected tragic events boston 15 13 visit bostonmarathon ,HER
is_analytic_no posemo_yes negemo_yes affiliation_yes risk_yes netspeak_yes nonflu_yes high_wps has_hashtag has_url  tornado severe storm tools shelter map register friend safe ,HER
posemo_yes negemo_yes cause_yes tentat_yes differ_yes affiliation_yes power_yes risk_yes netspeak_yes high_wps has_hashtag has_url  support moore response disasters txting redcross 90999 10 online ,HER
is_analytic_no is_clout_yes differ_yes affiliation_yes power_yes reward_yes netspeak_yes has_qmark has_hashtag has_url  100th birthday today pledge help finishthefight cancer ,HER
is_authentic_yes is_tone_yes posemo_yes achieve_yes many_sixltr low_wps has_exclam none  happy national cancer survivors day ,HER
is_analytic_yes is_clout_yes is_tone_yes posemo_yes affiliation_yes power_yes netspeak_yes has_exclam has_video has_hashtag has_url  turning birthdays clean water help passionproject ,HER
is_clout_yes is_tone_yes posemo_yes affiliation_yes achieve_yes reward_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  bringing better health opportunities communities like ethiopia waterchangeseverything ,HER
posemo_yes insight_yes see_yes netspeak_yes few_sixltr has_video has_hashtag has_url  september clean water means dignity health india watch video story ,HER
is_analytic_no is_clout_yes is_tone_yes posemo_yes insight_yes cause_yes achieve_yes reward_yes netspeak_yes low_wps has_photo has_url  beliefs make better person behavior ,HER
is_authentic_yes tentat_yes achieve_yes power_yes reward_yes none  wholeheartedly order achieve worth having frank lloyd wright ,HER
is_clout_yes posemo_yes insight_yes cause_yes discrep_yes hear_yes affiliation_yes netspeak_yes few_sixltr has_hashtag has_url  need ideas voices amazing young people shape world post2015agenda ,HER
is_tone_yes posemo_yes negemo_yes tentat_yes certain_yes differ_yes achieve_yes reward_yes few_sixltr none  unless like cares awful lot going better dr seuss ,HER
is_clout_no is_authentic_yes is_tone_yes posemo_yes discrep_yes certain_yes differ_yes affiliation_yes power_yes few_sixltr low_wps none  love money fame truth henry david thoreau ,HER
is_analytic_no is_clout_yes is_tone_no negemo_yes anx_yes discrep_yes tentat_yes differ_yes reward_yes risk_yes few_sixltr low_wps none  risks wasted soul drew barrymore ,HER
is_tone_no negemo_yes anx_yes anger_yes insight_yes cause_yes affiliation_yes power_yes few_sixltr none  fear manipulative emotion trick living boring life donald miller ,HER
is_analytic_no posemo_yes negemo_yes reward_yes netspeak_yes few_sixltr has_photo has_url  good ignore steve martin ,HER
is_clout_yes is_authentic_yes is_tone_no negemo_yes anger_yes insight_yes differ_yes hear_yes affiliation_yes none  end remember words enemies silence friends mlk jr ,HER
is_analytic_no is_clout_no is_tone_no negemo_yes anx_yes anger_yes certain_yes hear_yes risk_yes many_sixltr none  way avoid criticism say aristotle ,HER
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes achieve_yes reward_yes netspeak_yes many_sixltr has_hashtag has_url  good news breastcancer death rates continue decrease improvements screenings treatment ,HER
is_analytic_no is_tone_yes posemo_yes discrep_yes tentat_yes low_wps none  kind fun impossible walt disney ,HER
is_clout_yes is_authentic_yes many_sixltr low_wps none  action expresses priorities gandhi ,HER
is_analytic_no is_authentic_yes posemo_yes insight_yes discrep_yes tentat_yes differ_yes achieve_yes power_yes few_sixltr none  actions inspire dream learn leader john quincy adams ,HER
is_analytic_no is_clout_no is_authentic_yes is_tone_no negemo_yes anger_yes insight_yes cause_yes discrep_yes tentat_yes differ_yes achieve_yes risk_yes few_sixltr low_wps none  hate caused lot problems world solved maya angelou ,HER
is_analytic_no is_clout_yes see_yes affiliation_yes few_sixltr low_wps none  things ana nin ,HER
is_analytic_yes is_authentic_yes is_tone_no negemo_yes anger_yes tentat_yes power_yes has_hashtag  killings joseph kony lra decreased 93 past years zerolra possible ,HER
is_analytic_no is_clout_no is_authentic_yes is_tone_no posemo_yes negemo_yes anx_yes sad_yes differ_yes hear_yes achieve_yes power_yes risk_yes none  worry tomorrow troubles empties today strength corrie boom ,HER
is_analytic_no is_tone_no negemo_yes anger_yes discrep_yes differ_yes hear_yes netspeak_yes few_sixltr has_photo has_url  person says interrupt person doing ,HER
is_analytic_no is_tone_no negemo_yes anger_yes discrep_yes differ_yes hear_yes few_sixltr has_hashtag  person says interrupt person doing zerolra ,HER
is_analytic_no is_clout_no is_authentic_yes differ_yes hear_yes few_sixltr none  raise voice shout voice heard malala yousafzai ,HER
is_analytic_no is_authentic_yes posemo_yes negemo_yes anx_yes insight_yes differ_yes risk_yes low_wps none  peace avoiding life virginia woolf ,HER
is_analytic_no is_authentic_yes insight_yes discrep_yes tentat_yes certain_yes low_wps none  impossible nelson mandela ,HER
is_analytic_no is_clout_no is_authentic_yes is_tone_yes posemo_yes cause_yes discrep_yes achieve_yes netspeak_yes few_sixltr has_photo has_url  wonderful need wait single moment starting improve world anne frank ,HER
is_clout_no is_authentic_yes certain_yes differ_yes see_yes reward_yes netspeak_yes few_sixltr has_photo has_hashtag has_url  zerolra closer photo quote taken week article ,HER
is_analytic_no is_clout_yes is_authentic_yes insight_yes tentat_yes differ_yes few_sixltr low_wps none  think think right henry ford ,HER
is_analytic_no is_clout_yes is_authentic_yes insight_yes cause_yes discrep_yes certain_yes affiliation_yes netspeak_yes has_photo has_url  use creatively forever realize right right nelson mandela ,HER
is_analytic_no insight_yes discrep_yes tentat_yes certain_yes netspeak_yes low_wps has_photo has_url  impossible nelson mandela ,HER
is_analytic_no is_clout_no is_authentic_yes is_tone_yes posemo_yes insight_yes discrep_yes differ_yes few_sixltr low_wps none  start right acceptable franz kafka ,HER
is_authentic_yes is_tone_yes posemo_yes insight_yes cause_yes tentat_yes differ_yes none  primary choices life accept conditions exist accept responsibility changing denis waitley ,HER
is_analytic_no is_authentic_yes posemo_yes insight_yes feel_yes netspeak_yes has_photo has_url  feel capacity care thing gives life deepest significance pablo casals ,HER
is_analytic_yes is_authentic_yes is_tone_no negemo_yes anger_yes insight_yes achieve_yes power_yes few_sixltr none  breaking joseph kony lra rebels attack south sudan years details come ,HER
is_analytic_no is_tone_yes posemo_yes discrep_yes certain_yes differ_yes affiliation_yes few_sixltr low_wps none  compassionate act dalai lama ,HER
is_analytic_no is_clout_yes is_authentic_yes posemo_yes insight_yes cause_yes tentat_yes differ_yes see_yes affiliation_yes power_yes netspeak_yes few_sixltr has_hashtag has_url  sending help info looking loved ones help haiyan ,HER
is_clout_no is_authentic_yes differ_yes netspeak_yes few_sixltr has_photo has_url  difference water goes biosand filter water comes ,HER
